,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,strategy
228,7,p92,3.9094,14.8625,18.627951916197503,14.749218626634057,1.2456051742024838,1.089635343293211,31.0,12.0,1,0
229,7,p93,4.2213,15.4632,18.84985214314412,15.111081787457861,1.0979714021776708,1.067162447470046,31.0,12.0,1,0
230,7,p94,4.0906,9.6886,20.017651554695355,9.41299050412774,1.287015190275546,1.2949100934576077,31.0,14.0,1,0
231,7,p95,4.1321,10.4437,19.86121199582182,10.000017413766038,1.3086366837285281,1.2725213949177525,31.0,14.0,1,0
232,7,p96,4.2375,10.9847,19.966870915832516,10.87167194672532,1.3918889503117697,1.2823576065183866,31.0,14.0,1,0
233,8,p0,9.4098,7.1993,25.307472922736885,10.288854580380288,1.1339302315398423,1.0451200815195063,25.0,3.0,1,0
234,8,p1,9.3139,7.7799,24.933065023999497,10.839170756633038,1.0674264377464144,1.0187915735020485,25.0,3.0,1,0
235,8,v2,14.5501,4.1917,17.318406128377493,27.25777458874608,1.2287,1.931883779062714,21.0,3.0,2,1
236,8,p2,9.1742,8.3273,24.845783271939315,11.130477792430014,0.933209001242487,1.0188794465701834,25.0,3.0,1,0
237,8,p3,9.1234,9.2281,24.178483366632733,11.280327453743391,1.0020801614641417,1.013000514719615,25.0,3.0,1,0
238,8,p4,9.2134,9.8872,24.129294622079946,11.913440147228158,1.0169051332351509,0.995477117502102,25.0,3.0,1,0
239,8,p5,10.542,10.0495,25.145418948344947,12.31067747209452,0.911109570798156,1.0204306256712,25.0,3.0,1,0
240,8,p6,7.9817,9.9639,23.57308480611544,12.332456274112033,0.9791392240126018,1.0125012802961286,25.0,3.0,1,0
241,8,p7,8.148,10.4485,23.778235870590215,12.748376518797008,0.9904300934442571,1.000058562692289,25.0,3.0,1,0
242,8,p8,9.6825,11.4324,27.44599787127399,11.78810136361766,1.4815412009120774,1.4061197842813193,25.0,3.0,1,0
243,8,p9,15.1914,9.3109,30.19040326162561,1.4620711305105925,1.4922666149183932,1.3527577289534278,25.0,3.0,1,0
244,8,p10,15.5278,10.2079,30.69801861134554,1.9450826082461812,1.4446691524359478,1.3350939456749953,25.0,3.0,1,0
245,8,p11,15.4367,10.7891,30.936015164580155,2.1427130326939285,1.2942318571260714,1.3491893324119375,25.0,3.0,1,0
246,8,p31,22.5424,10.249,9.14690767307621,7.647460033642605,0.8702012238557241,0.88030175286382,25.0,3.0,1,0
247,8,p32,23.4286,9.6665,9.118619750920622,6.999810367438394,0.979886039292325,0.9023002798751982,25.0,3.0,1,0
248,8,p52,5.3892,8.6517,23.03060688178229,10.812610587798865,1.2216070808570159,1.1722426602565779,25.0,3.0,1,0
249,8,p53,5.1592,9.603,22.67994241994575,11.104398654616135,1.3175072106064545,1.1634118763290255,25.0,3.0,1,0
